clan_id,ime,prezime,pol,datum_rodjenja,email,datum_uclanjenja
1,Luka,Jovanović,N,1970-07-04,clan-1@seds.data,2017-03-24
2,Milica,Jovanović,Ž,1998-12-09,clan-2@seds.data,2017-03-05
3,Ana,Marković,Ž,1951-02-19,clan-3@seds.data,2017-11-23
4,Marija,Nikolić,Ž,1998-12-14,clan-4@seds.data,2017-02-19
5,Milica,Nikolić,Ž,1980-10-19,clan-5@seds.data,2017-05-30
6,Tamara,Nikolić,Ž,1960-03-11,clan-6@seds.data,2017-05-02
7,Tamara,Stojanović,Ž,1998-02-07,clan-7@seds.data,2017-08-31
8,Tamara,Marković,Ž,1970-11-29,clan-8@seds.data,2018-01-11
9,Marko,Petrović,M,1998-02-25,clan-9@seds.data,2016-07-21
10,Jelena,Nikolić,Ž,1999-01-03,clan-10@seds.data,2017-08-13
11,Jelena,Petrović,Ž,1960-07-02,clan-11@seds.data,2017-11-27
12,Luka,Jovanović,M,1960-05-20,clan-12@seds.data,2017-07-04
13,Milica,Pavlović,Ž,1990-10-30,clan-13@seds.data,2016-09-06
14,Aleksandar,Stojanović,M,1990-01-22,clan-14@seds.data,2017-09-10
16,Ana,Nikolić,Ž,1970-11-09,clan-16@seds.data,2017-09-26
17,Marko,Petrović,M,1980-03-24,clan-17@seds.data,2016-08-16
18,Ana,Pavlović,Ž,1960-07-18,clan-18@seds.data,2017-08-31
19,Milica,Nikolić,Ž,1998-02-24,clan-19@seds.data,2018-02-22
20,Ivana,Pavlović,Ž,1951-12-22,clan-20@seds.data,2017-08-13
21,Milica,Stojanović,Ž,1998-10-10,clan-21@seds.data,2017-06-21
23,Tamara,Marković,N,1980-04-15,clan-23@seds.data,2016-03-28
24,Ivana,Marković,Ž,1990-01-13,clan-24@seds.data,2019-06-21
25,Milica,Nikolić,Ž,1990-02-26,clan-25@seds.data,2019-11-07
26,Jelena,Jovanović,Ž,1960-10-08,clan-26@seds.data,2017-10-19
27,Luka,Nikolić,M,1970-02-23,clan-27@seds.data,2016-09-13
28,Milan,Stojanović,M,1999-01-01,clan-28@seds.data,2017-12-23
29,Marija,Ilić,Ž,1998-07-01,clan-29@seds.data,2018-01-21
30,Tamara,Stojanović,Ž,1998-09-05,clan-30@seds.data,2016-06-16
31,Milan,Pavlović,N,1970-10-22,clan-31@seds.data,2018-01-15
32,Tamara,Marković,Ž,1998-03-31,clan-32@seds.data,2017-05-20
33,Luka,Ilić,N,1970-01-19,clan-33@seds.data,2016-08-15
34,Luka,Ilić,M,1990-09-30,clan-34@seds.data,2017-04-11
35,Ivana,Petrović,Ž,1970-01-16,clan-35@seds.data,2016-06-23
36,Marko,Ilić,M,1951-05-10,clan-36@seds.data,2017-04-14
37,Tamara,Marković,Ž,1960-04-21,clan-37@seds.data,2017-11-06
